Food menu,????? Katsu,Cheesy Don,Chicken Don,Add on,Add on,A la carte loin katsu,Chicken katsu set,Subtotal,Service charge,VAT,Total,,,
Full price,159,199,149,59,89,149,199,,,,,,,
Discount Percentage,10%,10%,10%,10%,10%,10%,10%,,,,,,,
Discount,,,,,,,,,,,,,,
Discounted price,143.10,179.10,134.10,53.10,80.10,134.10,179.10,509.40,,,,,,
Price per person,143.1,179.1,134.1,53.1,80.1,134.1,179.1,,0%,0%,,Paid,,
Person A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,179.10,179.10,179.10,179.10,TRUE,,
Person B,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,187.20,187.20,187.20,187.20,TRUE,,
Person C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,179.10,179.10,179.10,179.10,TRUE,,
Person D,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,143.10,143.10,143.10,143.10,TRUE,,
Person E,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,214.20,214.20,214.20,214.20,TRUE,,
,,,,,,,,,,,,,,
,,,,,,,,,,Check sum,902.70,,,
